DP Name,Region Name,Channel Code,1,2,3,4,5,6,7,8,9,10,11,12
Vitamin Water,Miền Tây,MT0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Flavored water _ Tet Flavors,Miền Bắc,MT0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Flavored water _ Tet Flavors,Miền Trung,MT0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Flavored water _ Tet Flavors,HCM,MT0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Flavored water _ Tet Flavors,Miền Đông,MT0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Flavored water _ Tet Flavors,Miền Tây,MT0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Flavored Water ,Miền Bắc,MT0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Flavored Water ,Miền Trung,MT0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Flavored Water ,HCM,MT0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Flavored Water ,Miền Đông,MT0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Flavored Water ,Miền Tây,MT0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
Instant Noodle Kokomi Đại Tôm chua cay 113gr MB,Miền Bắc,GT0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Instant Noodle Kokomi Đại Tôm chua cay 113gr MB,Miền Trung,GT0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Instant Noodle Kokomi Đại Tôm chua cay 113gr MN,Miền Đông,GT0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
