"Product Number","Kpi Obj Catlog","Product Name","STANDARD_SKU_DESC","BRANDY_DESC","Sub Division Name","CATEGORY_DESC","SUB_CATEGORY_DESC","BRAND_DESC","BASE_UOM","Số lượng Base UOM / thùng","Số lượng pcs / Base UOM","Pcs / thùng","NET (Kg - base UOM)","Litre - Base UOM","Weight (case)","Primary UOM","Group SKU","Demand Planning Standard SKU Name","Innovation Name","Active Status","Local / Export / Others","Current Year Innovation(Y/N)","BU/Division","Innovation Type","Itemcode Type","Supply Strategy","Production Group","Launching Time"
"03HH00012",,"Combo CHIN-SU Tết MB (1chai NM + 1chai TO)","Chilli Sauces Chinsu Combo","Tương ớt Chinsu","Seasoning","Sauces","Chilli Sauces","Chinsu","Hop",6,2,12,1.6,,9.6,"Ton","Hộp quà_CCBĐ VIP","Chilli Sauces Chinsu Combo","Innovation_ TET","Active","Local",,"Seasoning",,"Code hệ thống",,"Fish Sauces (Glass)","2023/Q4"
"03OT00291",,"Tương ớt CHIN-SU Sriracha (CT) 3bl x 8chai x 250gr","Chilli Sauces Chinsu Sriracha 250gr","Hot sauce Chinsu","Seasoning","Sauces","Chilli Sauces","Chinsu","Blo",3,8,24,2,0,6,"Ton","Siracha","Chilli Sauces Chinsu Sriracha 250gr","Innovation_ Siracha","Active","Local",,"Seasoning","Innovation","Code hệ thống",,"Paste Sauces","2024"
"03OT00292",,"Tương ớt CHIN-SU Sriracha (CD) 3bl x 8chai x 250gr","Chilli Sauces Chinsu Sriracha 250gr","Hot sauce Chinsu","Seasoning","Sauces","Chilli Sauces","Chinsu","Blo",3,8,24,2,0,6,"Ton","Siracha","Chilli Sauces Chinsu Sriracha 250gr","Innovation_ Siracha","Active","Local",,"Seasoning","Innovation","Code hệ thống",,"Paste Sauces","2024"
"03HH00008_Nhật 2023","Hộp quà_HN Nhật","Hộp quà_Nhật","Hộp quà_Nhật","Chinsu","Seasoning","Dry Seasoning","Granules","Chinsu","Hop",4,4,16,1.53,0,6.12,"Ton","Hộp quà_Nhật","Hộp quà_Nhật","Innovation_ TET","Active","Local",,"Seasoning",,"Code tạm",,"Granules","2023/Q4"
"03GV00005_Muối đa năng.202401","Gia vị bột","Muối chấm đa năng 120gr","Muối đa năng 120g","Chinsu","Seasoning","Sauces","Sauces","Chinsu","Hu",4,6,24,0.72,0,2.88,"Ton","Gia vị bột","Muối đa năng 120g","Innovation_Spice & Herb","Active","Local",,"Seasoning","Innovation","Code tạm",,"Other Sauces","2024"
"03GV00005_Hũ thủy tinh tiêu đen.202401","Gia vị bột","hũ thủy tinh tiêu đen 45g","Hũ thủy tinh tiêu đen 45g","Chinsu","Seasoning","Sauces","Sauces","Chinsu","Hu",2,6,12,0.27,0,0.54,"Ton","Gia vị bột","Hũ thủy tinh tiêu đen 45g","Innovation_Spice & Herb","Active","Local",,"Seasoning","Innovation","Code tạm",,"Other Sauces","2024"
"03MR00019",,"Xốt mayonnaise CHIN-SU nguyên bản KM 24chai xốt mayonnaise CHIN-SU tương cà 120gr - 24chai x 250gr","Other sauces xốt mayonnaise Chinsu nguyên bản 250gr","Xốt mayonnaise Chinsu","Seasoning","Sauces","Other sauces","Chinsu","Tui",24,2,48,0.37,0,8.88,"Ton","Mayonnaise","Other sauces xốt mayonnaise Chinsu nguyên bản 250gr","Mayonaise","Active","Local","Y","Seasoning","Innovation","Code hệ thống",,"Other Sauces","2023/Q4"
"03MR00015",,"Xốt mayonnaise CHIN-SU nguyên bản 24chai x 250gr","Other sauces xốt mayonnaise Chinsu nguyên bản 250gr","Xốt mayonnaise Chinsu","Seasoning","Sauces","Other sauces","Chinsu","Cha",24,1,24,0.25,0,6,"Ton","Mayonnaise","Other sauces xốt mayonnaise Chinsu nguyên bản 250gr","Mayonaise","Active","Local","Y","Seasoning","Innovation","Code hệ thống",,"Other Sauces","2023/Q4"
"Tương đen_202407",,"Tương đen","Tương đen","Chinsu","Seasoning","Sauces","Other sauces","Chinsu","Hu",24,1,24,0.4,0,6,"Ton","Đặc sản vùng miền","Tương đen","FS","Active","Local","Y","Seasoning","Innovation","Code tạm",,"Other Sauces","2024"
"Tương chao_202407",,"Tương chao","Tương chao","Chinsu","Seasoning","Sauces","Other sauces","Chinsu","Hu",24,1,24,0.4,0,6,"Ton","Đặc sản vùng miền","Tương chao","FS","Active","Local","Y","Seasoning","Innovation","Code tạm",,"Other Sauces","2024"
"Salad Dressing_chanh leo.202407","Salad Dressing","Salad Dressing_chanh leo","Salad Dressing_chanh leo","Chinsu","Seasoning","Sauces","Other sauces","Chinsu","Cha",24,1,24,0.25,0,6,"Ton","Salad Dressing","Salad Dressing_chanh leo","Salad Dressing","Active","Local","Y","Seasoning","Innovation","Code tạm",,"Other Sauces","2024"
"Salad Dressing_tắc.202407","Salad Dressing","Salad Dressing_tắc","Salad Dressing_tắc","Chinsu","Seasoning","Sauces","Other sauces","Chinsu","Cha",24,1,24,0.25,0,6,"Ton","Salad Dressing","Salad Dressing_tắc","Salad Dressing","Active","Local","Y","Seasoning","Innovation","Code tạm",,"Other Sauces","2024"
"Chao 240g_202406",,"CHAO 240G","CHAO 240G","Chinsu","Seasoning","Sauces","Other sauces","Chinsu","Hu",24,1,24,0.24,0,5.76,"Ton","Chao","CHAO 240G","Chao","Active","Local","Y","Seasoning","Innovation","Code tạm",,"Other Sauces","2024"
"Chao 120g_202406",,"CHAO 120G","CHAO 120G","Chinsu","Seasoning","Sauces","Other sauces","Chinsu","Hu",24,1,24,0.12,0,2.88,"Ton","Chao","CHAO 120G","Chao","Active","Local","Y","Seasoning","Innovation","Code tạm",,"Other Sauces","2024"
"02GC00013","Chả bì Ngự Bảo","Chả bì que ớt xiêm xanh Ngự Bảo 4hộp x 12cây x 50gr","Chả bì Ngự Bảo Heo 50gr","Chả bì Ngự Bảo","Processed Meats","Giò Chả","Chả bì","Ngự Bảo","Hop",4,12,48,0,0,2.4,"Ton","Giò chả Ngự Bảo","Chả bì Ngự Bảo Heo 50gr",,"In-active","Local",,"Processed Meats",,"Code hệ thống",,,"2021-2022"
"02TK00001","Thịt kho trứng MEATDeli","Thịt kho trứng MEATDeli Bếp Việt MB 6hộp x 2gói x 350gr","Thịt kho trứng MEATDeli Heo 350gr","Bếp Việt","Processed Meats","Thịt Kho","Thịt Kho Trứng","MEATDeli","Goi",6,2,12,0,0,4.2,"Ton","Delete","Thịt kho trứng MEATDeli Heo 350gr",,"In-active","Local",,"Processed Meats",,"Code hệ thống",,,"2019-2020"
"02TK00002","Thịt kho trứng MEATDeli","Thịt kho trứng MEATDeli Bếp Việt MN 6hộp x 2gói x 350gr","Thịt kho trứng MEATDeli Heo 350gr","Bếp Việt","Processed Meats","Thịt Kho","Thịt Kho Trứng","MEATDeli","Goi",6,2,12,0,0,4.2,"Ton","Delete","Thịt kho trứng MEATDeli Heo 350gr",,"In-active","Local",,"Processed Meats",,"Code hệ thống",,,"2019-2020"
"97TK00001","Thành phẩm KM","Thịt kho trứng MEATDeli Bếp Việt Sampling MN 6hộp x 2gói x 350gr","Thịt kho trứng MEATDeli Heo 350gr","Thành phẩm KM","Processed Meats","Thịt Kho","Thịt Kho Trứng","MEATDeli","Goi",6,2,12,0,0,4.2,"Ton","Delete","Thịt kho trứng MEATDeli Heo 350gr",,"In-active","Local",,"Processed Meats",,"Code hệ thống",,,"2019-2020"
"97TK00002","Thành phẩm KM","Thịt kho trứng MEATDeli Bếp Việt Sampling MB 6hộp x 2gói x 350gr","Thịt kho trứng MEATDeli Heo 350gr","Thành phẩm KM","Processed Meats","Thịt Kho","Thịt Kho Trứng","MEATDeli","Goi",6,2,12,0,0,4.2,"Ton","Delete","Thịt kho trứng MEATDeli Heo 350gr",,"In-active","Local",,"Processed Meats",,"Code hệ thống",,,"2019-2020"
"Ponnie_202409_B","Hotdog Ponnie","Chân gà ủ muối Ponnie 50 gói x 40gr vị B",,"Ponnie Hotdog","Processed Meats","Meat Snack","MTS","Ponnie","Goi",50,1,50,0.04,0,2,"Ton","Ponnie Hotdog_inno 3","Chân gà ủ muối Ponnie 40gr - vị B",,"Active","Local","Y","Processed Meats","New Innovation","Code tạm",,"XX Tiệt Trùng","2024"
"02GL00021","Giò lụa Ngự Bảo","Giò lụa sạch Ngự Bảo hảo hạng 500gr","Giò lụa Ngự Bảo Heo 500gr","Giò lụa Ngự Bảo","Processed Meats","Giò Chả","Giò Lụa","Ngự Bảo","Goi",0,0,0,0,0,0,"Ton","Giò chả Ngự Bảo","Giò lụa Ngự Bảo Heo 500gr",,"In-active","Local",,"Processed Meats",,"Code hệ thống",,"Giò chả","2021-2022"
