Demand Planning Standard SKU Name,Group SKU,Channel,Sub Division Name,Duplication,1,2,3,4,5,6,7,8,9,10,11,12
Mineral Water Vivant chứa khoáng nhẹ 500ml,Vivant Xanh,GT0_C1,Refreshment Drinks,Mineral Water Vivant chứa khoáng nhẹ 500mlVivant XanhGT0_C1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mineral Water Vivant chứa khoáng nhẹ 5L,Vivant Xanh,GT0_C1,Refreshment Drinks,Mineral Water Vivant chứa khoáng nhẹ 5LVivant XanhGT0_C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSD Lemona Chanh 500ml,Lemona,GT0_C1,Refreshment Drinks,CSD Lemona Chanh 500mlLemonaGT0_C1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CSD Lemona Chanh 1.5L,Lemona,GT0_C1,Refreshment Drinks,CSD Lemona Chanh 1.5LLemonaGT0_C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mineral Water Vĩnh Hảo Có ga 500ml,Mineral - Gaz,KA0,Refreshment Drinks,Mineral Water Vĩnh Hảo Có ga 500mlMineral - GazKA0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Energy Drinks Wake up 247 Cà phê 330ml,WK 247 330ml,GT0,Refreshment Drinks,Energy Drinks Wake up 247 Cà phê 330mlWK 247 330mlGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Energy Drinks Wake up 247 Cà phê 330ml,WK 247 330ml,GT0_C1,Refreshment Drinks,Energy Drinks Wake up 247 Cà phê 330mlWK 247 330mlGT0_C1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Energy Drinks Wake up 247 Cà phê 330ml,WK 247 330ml,MT0,Refreshment Drinks,Energy Drinks Wake up 247 Cà phê 330mlWK 247 330mlMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Energy Drinks Wake up 247 Cà phê 330ml,WK 247 330ml,KA0,Refreshment Drinks,Energy Drinks Wake up 247 Cà phê 330mlWK 247 330mlKA0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Vihawa 500ml,Vihawa 500ml,GT0,Refreshment Drinks,Vihawa 500mlVihawa 500mlGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Energy Drinks Wake up 247 Cà phê 320ml,WK 247 Lon,KA0,Refreshment Drinks,Energy Drinks Wake up 247 Cà phê 320mlWK 247 LonKA0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Energy Drinks Wake up 247 Cà phê Lon cao 330ml,WK 247 Lon,KA0,Refreshment Drinks,Energy Drinks Wake up 247 Cà phê Lon cao 330mlWK 247 LonKA0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy Drinks Wake up 247 Cà phê 320ml,WK 247 Lon,MT0,Refreshment Drinks,Energy Drinks Wake up 247 Cà phê 320mlWK 247 LonMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Energy Drinks Wake up 247 Cà phê Lon cao 330ml,WK 247 Lon,MT0,Refreshment Drinks,Energy Drinks Wake up 247 Cà phê Lon cao 330mlWK 247 LonMT0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Energy Drinks Wake up 247 Cà phê 320ml,WK 247 Lon,GT0,Refreshment Drinks,Energy Drinks Wake up 247 Cà phê 320mlWK 247 LonGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Energy Drinks Wake up 247 Cà phê Lon cao 330ml,WK 247 Lon,GT0,Refreshment Drinks,Energy Drinks Wake up 247 Cà phê Lon cao 330mlWK 247 LonGT0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSD Wake up Cola 1.5L,Wake-up Cola,GT0,Refreshment Drinks,CSD Wake up Cola 1.5LWake-up ColaGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CSD Lemona Chanh 1.5L,Lemona 1.5L,GT0,Refreshment Drinks,CSD Lemona Chanh 1.5LLemona 1.5LGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
White Lion (Pack 12 can),White Lion (Pack 12 can),GT0_C1,Beer,White Lion (Pack 12 can)White Lion (Pack 12 can)GT0_C1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
White Lion (Pack 12 can),White Lion (Pack 12 can),GT0,Beer,White Lion (Pack 12 can)White Lion (Pack 12 can)GT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Beer Lager Premium Red Ruby Regular 24lon 330ml,Red Ruby Regular,KA0,Beer,Beer Lager Premium Red Ruby Regular 24lon 330mlRed Ruby RegularKA0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Beer Lager Premium Red Ruby Regular 20lon 330ml,Red Ruby (20 can),GT0_C1,Beer,Beer Lager Premium Red Ruby Regular 20lon 330mlRed Ruby (20 can)GT0_C1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Energy Drinks Wake up 247 Cà phê 1.5L,WK 247 1.5L,GT0,Refreshment Drinks,Energy Drinks Wake up 247 Cà phê 1.5LWK 247 1.5LGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
New Gen Craft,New Gen Craft,KA0,Beer,New Gen CraftNew Gen CraftKA0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
New Gen Craft,New Gen Craft,GT0,Beer,New Gen CraftNew Gen CraftGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
New Gen Craft,New Gen Craft,MT0,Beer,New Gen CraftNew Gen CraftMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
New Gen Craft,New Gen Craft,GT0_C1,Beer,New Gen CraftNew Gen CraftGT0_C1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Lager Premium,Lager Premium,KA0,Beer,Lager PremiumLager PremiumKA0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Lager Premium,Lager Premium,GT0,Beer,Lager PremiumLager PremiumGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Lager Premium,Lager Premium,MT0,Beer,Lager PremiumLager PremiumMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Lager Premium,Lager Premium,GT0_C1,Beer,Lager PremiumLager PremiumGT0_C1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
New Gen Lager,New Gen Lager,KA0,Beer,New Gen LagerNew Gen LagerKA0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
New Gen Lager,New Gen Lager,GT0,Beer,New Gen LagerNew Gen LagerGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
New Gen Lager,New Gen Lager,MT0,Beer,New Gen LagerNew Gen LagerMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
New Gen Lager,New Gen Lager,GT0_C1,Beer,New Gen LagerNew Gen LagerGT0_C1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wheat Beer,Wheat Beer,KA0,Beer,Wheat BeerWheat BeerKA0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wheat Beer,Wheat Beer,GT0,Beer,Wheat BeerWheat BeerGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wheat Beer,Wheat Beer,MT0,Beer,Wheat BeerWheat BeerMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Wheat Beer,Wheat Beer,GT0_C1,Beer,Wheat BeerWheat BeerGT0_C1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ruby Light,Ruby Light,KA0,Beer,Ruby LightRuby LightKA0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ruby Light,Ruby Light,GT0,Beer,Ruby LightRuby LightGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ruby Light,Ruby Light,MT0,Beer,Ruby LightRuby LightMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ruby Light,Ruby Light,GT0_C1,Beer,Ruby LightRuby LightGT0_C1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Flavored Water Đào,Flavored Water ,MT0,Refreshment Drinks,Flavored Water ĐàoFlavored Water MT0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Flavored Water Vải,Flavored Water ,MT0,Refreshment Drinks,Flavored Water VảiFlavored Water MT0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Flavored Water Dưa lưới,Flavored Water ,MT0,Refreshment Drinks,Flavored Water Dưa lướiFlavored Water MT0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Flavored Water Tắc,Flavored Water ,MT0,Refreshment Drinks,Flavored Water TắcFlavored Water MT0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Flavored Water Đào,Flavored Water ,GT0,Refreshment Drinks,Flavored Water ĐàoFlavored Water GT0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Flavored Water Vải,Flavored Water ,GT0,Refreshment Drinks,Flavored Water VảiFlavored Water GT0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Flavored Water Dưa lưới,Flavored Water ,GT0,Refreshment Drinks,Flavored Water Dưa lướiFlavored Water GT0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Flavored Water Tắc,Flavored Water ,GT0,Refreshment Drinks,Flavored Water TắcFlavored Water GT0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Bia Red Ruby Max 24lon x 330ml,Ruby Max,KA0,Beer,Bia Red Ruby Max 24lon x 330mlRuby MaxKA0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bia Red Ruby Max 24lon x 330ml,Ruby Max,GT0,Beer,Bia Red Ruby Max 24lon x 330mlRuby MaxGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bia Red Ruby Max 24lon x 330ml,Ruby Max,MT0,Beer,Bia Red Ruby Max 24lon x 330mlRuby MaxMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bia Red Ruby Max 24lon x 330ml,Ruby Max,GT0_C1,Beer,Bia Red Ruby Max 24lon x 330mlRuby MaxGT0_C1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Flavored Beer,Flavored Beer,KA0,Beer,Flavored BeerFlavored BeerKA0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Flavored Beer,Flavored Beer,GT0,Beer,Flavored BeerFlavored BeerGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Flavored Beer,Flavored Beer,MT0,Beer,Flavored BeerFlavored BeerMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
